;item;Campodeconocimiento;Dffclt;Dscrmn;ProbSeleccAzar;PropAciertos;Definición Operacional
93;EAES301937;Matemática;0.1192675;0.61637473;0.4816299;0.484536082;Aplica las propiedades de orden de los n√∫meros reales para resolver inecuaciones de primer grado con una inc√≥gnita.
111;EAES301565;Matemática;0.17502356;0.83284982;0.46362231;0.47;Aplica propiedades de los logaritmos en ecuaciones.
78;EAES301529;Matemática;0.17585221;0.83284982;0.46345069;0.47;Determina el dominio. sus ceros  y el recorrido de una funci√≥n real.
101;EAES301541;Matemática;-0.2626255;0.83284982;0.55446494;0.55;Determina los ceros. la monoton√≠a. m√°ximos y m√≠nimos. la paridad de una funci√≥n cuadr√°tica a trav√©s de la par√°bola que le representa.
26;EAES301476;Matemática;1.76330254;0.83284982;0.18716064;0.21;Emplea t√©cnicas de factorizaci√≥n para la descomposici√≥n de expresiones algebraicas.
39;EAES301553;Matemática;0.17526261;0.83284982;0.4635728;0.47;Identifica gr√°ficamente una de las siguientes propiedades de una funci√≥n trigonom√©trica dada su gr√°fica: monoton√≠a. periodicidad. paridad.
33;EAES301793;Matemática;1.32900758;0.82427862;0.25058916;0.280788177;Identifica si dos rectas son paralelas o perpendiculares.
135;EAES302129;Matemática;1.77764312;0.78296624;0.19911504;0.222222222;Interpreta gr√°ficos estad√≠sticos de un conjunto de datos a partir de las medidas de tendencia central y dispersi√≥n con datos no agrupados.
14;EAES301460;Matemática;1.14405252;0.83284982;0.27831726;0.3;Reconoce las leyes de la potenciaci√≥n o radicaci√≥n en R.
103;EAES301489;Matemática;1.84269981;0.83284982;0.1773082;0.2;Resuelve problemas de ecuaciones de  primer grado con una inc√≥gnita en R.
30;EAES301509;Matemática;0.90194135;0.83284982;0.32056387;0.34;Resuelve sistemas de ecuaciones lineales de 2x2 o 3x3 aplicando cualquier m√©todo.
56;EAES301943;Matemática;1.02606448;1.17912667;0.22972582;0.272727273;Aplica las propiedades de orden de los n√∫meros reales para resolver inecuaciones de primer grado con una inc√≥gnita.
37;EAES301487;Matemática;-0.2941016;0.82427862;0.56031034;0.566502463;Emplea t√©cnicas de factorizaci√≥n para la descomposici√≥n de expresiones algebraicas.
137;EAES301862;Matemática;1.52823163;1.17912667;0.14161037;0.181818182;Identifica si dos rectas son paralelas o perpendiculares.
125;EAES302135;Matemática;0.4069148;0.80835417;0.41850068;0.435523114;Interpreta gr√°ficos estad√≠sticos de un conjunto de datos a partir de las medidas de tendencia central y dispersi√≥n con datos no agrupados.
34;EAES301466;Matemática;2.43107254;0.84289961;0.11413829;0.133187773;Reconoce las leyes de la potenciaci√≥n o radicaci√≥n en R.
133;EAES301495;Matemática;0.17377761;0.90492401;0.46076694;0.485260771;Resuelve problemas de ecuaciones de  primer grado con una inc√≥gnita en R.
127;EAES301516;Matemática;0.86661007;0.80198961;0.332919;0.354978355;Resuelve sistemas de ecuaciones lineales de 2x2 o 3x3 aplicando cualquier m√©todo.
76;EAES301729;Lengua y Literatura;0.3263617;0.80835417;0.43442592;0.450121655;Analiza las causas y las consecuencias de la diglosia con relaci√≥n a las lenguas originarias en el √°mbito educativo. la identidad. derechos colectivos y la vida cotidiana.
112;EAES301881;Lengua y Literatura;-0.0211937;0.8765223;0.50464405;0.514218009;Analiza los significados connotativos del discurso.
121;EAES301819;Lengua y Literatura;0.83515011;0.82427862;0.3343899;0.362068966;Aplica estrategias cognitivas y metacognitivas para la comprensi√≥n de textos argumentativos.
66;EAES301872;Lengua y Literatura;-0.2072768;0.83284982;0.54305076;0.54;Identifica la idea principal de un texto argumentativo.
119;EAES301886;Lengua y Literatura;-0.2935575;0.80835417;0.55904778;0.562043796;Infiere el contenido impl√≠cito de un texto oral.
92;EAES301833;Lengua y Literatura;0.3812161;0.82427862;0.422083;0.443349754;Interpreta los aspectos formales (estructura) o el contenido de un texto. en funci√≥n del contexto sociocultural y el punto de vista del autor.
96;EAES302066;Lengua y Literatura;-0.1860149;0.78296624;0.53634663;0.53968254;Interpreta un texto literario desde las caracter√≠sticas del g√©nero al que pertenece
53;EAES301851;Lengua y Literatura;-1.4549923;0.80835417;0.7642547;0.744525547;Organiza la informaci√≥n presentada mediante el uso de esquemas.
4;EAES301814;Lengua y Literatura;2.64625037;0.80198961;0.10695151;0.125541126;Reconoce la aplicaci√≥n de argumentos y contraargumentos cuya intenci√≥n es persuadir.
60;EAES301717;Lengua y Literatura;0.3542564;0.82427862;0.42751284;0.448275862;Reconoce las transformaciones de la cultura escrita en la era digital (usos del lenguaje escrito. formas de lectura y escritura).
761;EAES301856;Lengua y Literatura;1.50191193;0.61637473;0.28378966;0.298969072;Reconoce p√°rrafos sobre diferentes temas de la cotidianidad y acad√©micos escritos con coherencia. cohesi√≥n y precisi√≥n.
20;EAES301747;Lengua y Literatura;0.51107316;0.84289961;0.39393929;0.410480349;Selecciona cr√≠ticamente los elementos o recursos del discurso oral en textos cotidianos y no cotidianos
781;EAES301858;Lengua y Literatura;2.46612942;0.61637473;0.17945271;0.195876289;Selecciona un vocabulario preciso para expresar matices en funci√≥n de producir determinados efectos en los lectores.
391;EAES301749;Lengua y Literatura;0.53643365;0.78296624;0.39651449;0.412698413;Valora el contenido de un texto oral con contradicciones. ambig√ºedades. falacias. distorsiones o desviaciones en el discurso.
