;item;Campodeconocimiento;Dffclt;Dscrmn;ProbSeleccAzar;PropAciertos;Definición Operacional
93;EAES301938;Matemática;0.51649778;0.82427862;0.3951445;0.41871921;Aplica las propiedades de orden de los n√∫meros reales para resolver inecuaciones de primer grado con una inc√≥gnita.
111;EAES301566;Matemática;1.99795377;0.86011325;0.15206879;0.18181818;Aplica propiedades de los logaritmos en ecuaciones.
78;EAES301531;Matemática;1.02749198;0.84289961;0.29607217;0.31877729;Determina el dominio. sus ceros  y el recorrido de una funci√≥n real.
101;EAES301542;Matemática;0.74104644;0.86011325;0.34583816;0.375;Determina los ceros. la monoton√≠a. m√°ximos y m√≠nimos. la paridad de una funci√≥n cuadr√°tica a trav√©s de la par√°bola que le representa.
26;EAES301477;Matemática;0.74115477;0.86011325;0.34581708;0.375;Emplea t√©cnicas de factorizaci√≥n para la descomposici√≥n de expresiones algebraicas.
39;EAES301554;Matemática;1.56967439;0.86011325;0.20585439;0.23863636;Identifica gr√°ficamente una de las siguientes propiedades de una funci√≥n trigonom√©trica dada su gr√°fica: monoton√≠a. periodicidad. paridad.
33;EAES301794;Matemática;1.95113528;0.61637473;0.2310076;0.24742268;Identifica si dos rectas son paralelas o perpendiculares.
135;EAES302130;Matemática;1.21684548;0.8765223;0.25605169;0.28436019;Interpreta gr√°ficos estad√≠sticos de un conjunto de datos a partir de las medidas de tendencia central y dispersi√≥n con datos no agrupados.
14;EAES301461;Matemática;1.20118877;0.86011325;0.26247225;0.29545455;Reconoce las leyes de la potenciaci√≥n o radicaci√≥n en R.
103;EAES301490;Matemática;-0.0531817;0.86011325;0.51143358;0.52272727;Resuelve problemas de ecuaciones de  primer grado con una inc√≥gnita en R.
30;EAES301511;Matemática;1.73170732;0.86011325;0.18400213;0.21590909;Resuelve sistemas de ecuaciones lineales de 2x2 o 3x3 aplicando cualquier m√©todo.
56;EAES302151;Matemática;1.54138998;0.83284982;0.21691318;0.24;Aplica las propiedades de orden de los n√∫meros reales para resolver inecuaciones de primer grado con una inc√≥gnita.
37;EAES301483;Matemática;2.00179978;0.80198961;0.16722509;0.19047619;Emplea t√©cnicas de factorizaci√≥n para la descomposici√≥n de expresiones algebraicas.
137;EAES301863;Matemática;1.66167345;1.17912667;0.12354028;0.16161616;Identifica si dos rectas son paralelas o perpendiculares.
125;EAES302136;Matemática;0.511072;0.84289961;0.39393952;0.41048035;Interpreta gr√°ficos estad√≠sticos de un conjunto de datos a partir de las medidas de tendencia central y dispersi√≥n con datos no agrupados.
34;EAES301467;Matemática;0.76370144;0.90492401;0.33379025;0.36961451;Reconoce las leyes de la potenciaci√≥n o radicaci√≥n en R.
133;EAES301496;Matemática;0.66582214;0.80835417;0.36860173;0.3892944;Resuelve problemas de ecuaciones de  primer grado con una inc√≥gnita en R.
127;EAES301517;Matemática;1.48058863;0.90492401;0.20753963;0.24489796;Resuelve sistemas de ecuaciones lineales de 2x2 o 3x3 aplicando cualquier m√©todo.
76;EAES301730;Lengua y Literatura;-0.1301974;0.84289961;0.52740833;0.53056769;Analiza las causas y las consecuencias de la diglosia con relaci√≥n a las lenguas originarias en el √°mbito educativo. la identidad. derechos colectivos y la vida cotidiana.
112;EAES301882;Lengua y Literatura;-0.1600766;0.80198961;0.53205094;0.53679654;Analiza los significados connotativos del discurso.
121;EAES301820;Lengua y Literatura;1.58840496;0.61637473;0.2730798;0.28865979;Aplica estrategias cognitivas y metacognitivas para la comprensi√≥n de textos argumentativos.
66;EAES301873;Lengua y Literatura;1.40840673;0.82427862;0.23850024;0.26847291;Identifica la idea principal de un texto argumentativo.
119;EAES301888;Lengua y Literatura;-0.1763528;0.86011325;0.53784831;0.54545455;Infiere el contenido impl√≠cito de un texto oral.
92;EAES301834;Lengua y Literatura;1.33417962;0.61637473;0.30526407;0.31958763;Interpreta los aspectos formales (estructura) o el contenido de un texto. en funci√≥n del contexto sociocultural y el punto de vista del autor.
96;EAES302070;Lengua y Literatura;-0.0756388;0.82427862;0.51558182;0.5270936;Interpreta un texto literario desde las caracter√≠sticas del g√©nero al que pertenece
53;EAES301849;Lengua y Literatura;0.69455813;1.17912667;0.30598192;0.34343434;Organiza la informaci√≥n presentada mediante el uso de esquemas.
4;EAES302046;Lengua y Literatura;1.34375582;0.86011325;0.23943453;0.27272727;Reconoce la aplicaci√≥n de argumentos y contraargumentos cuya intenci√≥n es persuadir.
60;EAES301718;Lengua y Literatura;0.93587178;0.61637473;0.35965826;0.37113402;Reconoce las transformaciones de la cultura escrita en la era digital (usos del lenguaje escrito. formas de lectura y escritura).
761;EAES301902;Lengua y Literatura;1.92328198;0.83284982;0.16772948;0.19;Reconoce p√°rrafos sobre diferentes temas de la cotidianidad y acad√©micos escritos con coherencia. cohesi√≥n y precisi√≥n.
