;item;Campodeconocimiento;Dffclt;Dscrmn;ProbSeleccAzar;PropAciertos;Definición Operacional
93;EAES301739;Lengua y Literatura;0.42870185;1.17912667;0.37625048;0.404040404;Analiza las causas y las consecuencias de la diglosia con relaci√≥n a las lenguas originarias en el √°mbito educativo. la identidad. derechos colectivos y la vida cotidiana.
111;EAES301885;Lengua y Literatura;0.64970115;1.17912667;0.3173277;0.353535354;Analiza los significados connotativos del discurso.
78;EAES301831;Lengua y Literatura;0.24602181;0.80835417;0.45044503;0.464720195;Aplica estrategias cognitivas y metacognitivas para la comprensi√≥n de textos argumentativos.
101;EAES302052;Lengua y Literatura;0.81248372;0.84289961;0.33518143;0.355895197;Identifica la idea principal de un texto argumentativo.
26;EAES302095;Lengua y Literatura;2.15467319;0.80198961;0.15084031;0.173160173;Infiere el contenido impl√≠cito de un texto oral.
39;EAES301834;Lengua y Literatura;1.33417962;0.61637473;0.30526407;0.319587629;Interpreta los aspectos formales (estructura) o el contenido de un texto. en funci√≥n del contexto sociocultural y el punto de vista del autor.
33;EAES302077;Lengua y Literatura;1.16268231;0.90492401;0.25881454;0.297052154;Interpreta un texto literario desde las caracter√≠sticas del g√©nero al que pertenece
135;EAES301854;Lengua y Literatura;0.01258249;0.83284982;0.49738019;0.5;Organiza la informaci√≥n presentada mediante el uso de esquemas.
14;EAES301816;Lengua y Literatura;0.97658089;1.17912667;0.24021291;0.282828283;Reconoce la aplicaci√≥n de argumentos y contraargumentos cuya intenci√≥n es persuadir.
103;EAES301724;Lengua y Literatura;0.3908249;0.90492401;0.41249351;0.442176871;Reconoce las transformaciones de la cultura escrita en la era digital (usos del lenguaje escrito. formas de lectura y escritura).
30;EAES302111;Lengua y Literatura;2.28397914;0.83284982;0.12985837;0.15;Reconoce p√°rrafos sobre diferentes temas de la cotidianidad y acad√©micos escritos con coherencia. cohesi√≥n y precisi√≥n.
56;EAES302104;Lengua y Literatura;1.84251575;0.83284982;0.17733056;0.2;Selecciona cr√≠ticamente los elementos o recursos del discurso oral en textos cotidianos y no cotidianos
37;EAES301859;Lengua y Literatura;1.72497841;0.78296624;0.20577232;0.229024943;Selecciona un vocabulario preciso para expresar matices en funci√≥n de producir determinados efectos en los lectores.
137;EAES301750;Lengua y Literatura;0.08917106;0.8765223;0.48046984;0.492890995;Valora el contenido de un texto oral con contradicciones. ambig√ºedades. falacias. distorsiones o desviaciones en el discurso.
125;EAES301906;Lengua y Literatura;1.02139299;0.8765223;0.29002271;0.317535545;Valora los textos m√°s representativos de la literatura ecuatoriana: siglos XIX a XXI. en funci√≥n a sus aportes en la construcci√≥n de una cultura diversa y plural
34;EAES302146;Lengua y Literatura;-0.177184;0.84289961;0.53726783;0.53930131;Analiza los significados connotativos del discurso.
133;EAES301896;Lengua y Literatura;1.68647879;0.83284982;0.19708978;0.22;Aplica estrategias cognitivas y metacognitivas para la comprensi√≥n de textos argumentativos.
127;EAES302054;Lengua y Literatura;1.92336146;0.83284982;0.16772024;0.19;Identifica la idea principal de un texto argumentativo.
76;EAES302108;Lengua y Literatura;0.72885791;0.83284982;0.35273718;0.37;Infiere el contenido impl√≠cito de un texto oral.
112;EAES302073;Lengua y Literatura;-0.4597124;0.8765223;0.59939578;0.597156398;Interpreta un texto literario desde las caracter√≠sticas del g√©nero al que pertenece
121;EAES301719;Lengua y Literatura;-2.1329661;0.78296624;0.84158122;0.818594104;Reconoce las transformaciones de la cultura escrita en la era digital (usos del lenguaje escrito. formas de lectura y escritura).
66;EAES302057;Lengua y Literatura;0.40696438;0.80198961;0.41912139;0.435064935;Reconoce p√°rrafos sobre diferentes temas de la cotidianidad y acad√©micos escritos con coherencia. cohesi√≥n y precisi√≥n.
119;EAES302102;Lengua y Literatura;2.4785867;0.84289961;0.11015099;0.128820961;Selecciona cr√≠ticamente los elementos o recursos del discurso oral en textos cotidianos y no cotidianos
92;EAES302084;Lengua y Literatura;-0.1977254;0.80835417;0.53987318;0.545012165;Valora los textos m√°s representativos de la literatura ecuatoriana: siglos XIX a XXI. en funci√≥n a sus aportes en la construcci√≥n de una cultura diversa y plural
96;EAES301945;Matemática;0.3934749;0.80835417;0.42114689;0.437956204;Aplica las propiedades de orden de los n√∫meros reales para resolver inecuaciones de primer grado con una inc√≥gnita.
53;EAES301569;Matemática;0.90911269;0.90492401;0.30519551;0.342403628;Aplica propiedades de los logaritmos en ecuaciones.
4;EAES301529;Matemática;0.17585221;0.83284982;0.46345069;0.47;Determina el dominio. sus ceros  y el recorrido de una funci√≥n real.
60;EAES301546;Matemática;1.23423882;1.17912667;0.18918356;0.232323232;Determina los ceros. la monoton√≠a. m√°ximos y m√≠nimos. la paridad de una funci√≥n cuadr√°tica a trav√©s de la par√°bola que le representa.
761;EAES301485;Matemática;0.91278676;0.78296624;0.32856529;0.349206349;Emplea t√©cnicas de factorizaci√≥n para la descomposici√≥n de expresiones algebraicas.
20;EAES301563;Matemática;1.5017927;0.61637473;0.2838046;0.298969072;Identifica gr√°ficamente una de las siguientes propiedades de una funci√≥n trigonom√©trica dada su gr√°fica: monoton√≠a. periodicidad. paridad.
781;EAES301863;Matemática;1.66167345;1.17912667;0.12354028;0.161616162;Identifica si dos rectas son paralelas o perpendiculares.
391;EAES302137;Matemática;1.49272176;0.86011325;0.21688543;0.25;Interpreta gr√°ficos estad√≠sticos de un conjunto de datos a partir de las medidas de tendencia central y dispersi√≥n con datos no agrupados.
104;EAES301471;Matemática;1.32582862;0.80198961;0.25667918;0.281385281;Reconoce las leyes de la potenciaci√≥n o radicaci√≥n en R.
46;EAES301498;Matemática;0.98346377;0.90492401;0.29111809;0.328798186;Resuelve problemas de ecuaciones de  primer grado con una inc√≥gnita en R.
36;EAES301513;Matemática;0.55851452;0.84289961;0.38443362;0.401746725;Resuelve sistemas de ecuaciones lineales de 2x2 o 3x3 aplicando cualquier m√©todo.
116;EAES301944;Matemática;0.72802907;0.90492401;0.34100676;0.376417234;Aplica las propiedades de orden de los n√∫meros reales para resolver inecuaciones de primer grado con una inc√≥gnita.
331;EAES301486;Matemática;1.4171808;0.61637473;0.29452355;0.309278351;Emplea t√©cnicas de factorizaci√≥n para la descomposici√≥n de expresiones algebraicas.
88;EAES301794;Matemática;1.95113528;0.61637473;0.2310076;0.24742268;Identifica si dos rectas son paralelas o perpendiculares.
41;EAES301956;Matemática;0.41119741;0.61637473;0.4369741;0.443298969;Interpreta gr√°ficos estad√≠sticos de un conjunto de datos a partir de las medidas de tendencia central y dispersi√≥n con datos no agrupados.
