;item;Campodeconocimiento;Dffclt;Dscrmn;ProbSeleccAzar;PropAciertos;Definición Operacional
93;EAES301939;Matemática;0.83526209;0.8765223;0.3247284;0.3507109;Aplica las propiedades de orden de los n√∫meros reales para resolver inecuaciones de primer grado con una inc√≥gnita.
111;EAES301567;Matemática;1.83568792;0.84289961;0.17547648;0.19868996;Aplica propiedades de los logaritmos en ecuaciones.
78;EAES301532;Matemática;1.05093559;0.80835417;0.29953185;0.32360097;Determina el dominio. sus ceros  y el recorrido de una funci√≥n real.
101;EAES301543;Matemática;1.21321664;0.84289961;0.2645174;0.28820961;Determina los ceros. la monoton√≠a. m√°ximos y m√≠nimos. la paridad de una funci√≥n cuadr√°tica a trav√©s de la par√°bola que le representa.
26;EAES301478;Matemática;2.0521543;0.84289961;0.15061827;0.17248908;Emplea t√©cnicas de factorizaci√≥n para la descomposici√≥n de expresiones algebraicas.
39;EAES301555;Matemática;0.38190623;0.84289961;0.42021068;0.43449782;Identifica gr√°ficamente una de las siguientes propiedades de una funci√≥n trigonom√©trica dada su gr√°fica: monoton√≠a. periodicidad. paridad.
33;EAES301795;Matemática;0.68219829;0.78296624;0.36955223;0.3877551;Identifica si dos rectas son paralelas o perpendiculares.
135;EAES302131;Matemática;2.05789331;0.80198961;0.16105367;0.18398268;Interpreta gr√°ficos estad√≠sticos de un conjunto de datos a partir de las medidas de tendencia central y dispersi√≥n con datos no agrupados.
14;EAES301462;Matemática;1.27181114;0.83284982;0.25745707;0.28;Reconoce las leyes de la potenciaci√≥n o radicaci√≥n en R.
103;EAES301491;Matemática;1.49291074;0.86011325;0.21685782;0.25;Resuelve problemas de ecuaciones de  primer grado con una inc√≥gnita en R.
30;EAES301512;Matemática;1.5282105;1.17912667;0.1416134;0.18181818;Resuelve sistemas de ecuaciones lineales de 2x2 o 3x3 aplicando cualquier m√©todo.
56;EAES301945;Matemática;0.3934749;0.80835417;0.42114689;0.4379562;Aplica las propiedades de orden de los n√∫meros reales para resolver inecuaciones de primer grado con una inc√≥gnita.
37;EAES301484;Matemática;1.23128498;0.8765223;0.25364821;0.28199052;Emplea t√©cnicas de factorizaci√≥n para la descomposici√≥n de expresiones algebraicas.
137;EAES301864;Matemática;0.34502672;0.90492401;0.42257223;0.45124717;Identifica si dos rectas son paralelas o perpendiculares.
125;EAES302137;Matemática;1.49272176;0.86011325;0.21688543;0.25;Interpreta gr√°ficos estad√≠sticos de un conjunto de datos a partir de las medidas de tendencia central y dispersi√≥n con datos no agrupados.
34;EAES301468;Matemática;2.16059016;0.80835417;0.1484864;0.1703163;Reconoce las leyes de la potenciaci√≥n o radicaci√≥n en R.
133;EAES301497;Matemática;0.92813221;1.17912667;0.25079337;0.29292929;Resuelve problemas de ecuaciones de  primer grado con una inc√≥gnita en R.
127;EAES301518;Matemática;0.94005695;0.8765223;0.30491928;0.33175355;Resuelve sistemas de ecuaciones lineales de 2x2 o 3x3 aplicando cualquier m√©todo.
